dgp,n,p,tune,rep,seed,train_R2,test_R2,train_MSE,test_MSE,overfit_ratio,overfit_gap,sigma_hat,lambda_hat,df_eff,wall_clock_s,n_warnings,n_errors
interaction,500,10,none,6,33210006,0.879027242233183,0.549288318052847,0.320165016662957,1.16276670789429,3.63177314003156,0.329738924180336,10,0.314725865713783,NA,4.571,0,0
interaction,500,10,none,7,33210007,0.882403089710933,0.609272311211851,0.294223205708048,0.978954396328939,3.32725079917842,0.273130778499083,10,0.315178969460805,NA,4.282,0,0
interaction,500,10,none,8,33210008,0.932667182887772,0.598042725523759,0.158208056048047,1.00020699652567,6.32209902270661,0.334624457364012,10,0.182191050249066,NA,4.82100000000001,0,0
interaction,500,10,none,9,33210009,0.914789058036058,0.576603263266719,0.230378947643892,1.02973715507017,4.46975370623658,0.33818579476934,10,0.232987919211739,NA,0.018999999999977,0,0
interaction,500,10,none,10,33210010,0.910943451090832,0.593690850890201,0.214765499435198,0.939274348557572,4.37348806501848,0.317252600200632,10,0.233267952732926,NA,0.0130000000000052,0,0
sparse,500,10,none,1,43210001,0.861870514302966,0.679007552222313,2.55635981262561,6.06627834469688,2.37301428176743,0.182862962080653,10,0.663345872304877,NA,0.0169999999999959,0,0
sparse,500,10,none,2,43210002,0.889122018755993,0.701658633709121,2.04088847117911,5.36871908735896,2.6305793595165,0.187463385046872,10,0.448166902844072,NA,0.0109999999999957,0,0
sparse,500,10,none,3,43210003,0.875058180441313,0.710912830981707,2.40509738008552,5.44464666547004,2.26379468480251,0.164145349459606,10,0.663345872304877,NA,0.0190000000000055,0,0
sparse,500,10,none,4,43210004,0.892850010175725,0.685827435691368,2.26215641039525,6.2672135555161,2.77045987037699,0.207022574484358,10,0.448166902844072,NA,0.01400000000001,0,0
sparse,500,10,none,5,43210005,0.884689377628311,0.710528801087597,2.11911986714453,5.57297511696364,2.62985364979524,0.174160576540714,10,0.448166902844072,NA,0.0160000000000196,0,0
sparse,500,10,none,6,43210006,0.872487946161629,0.676235560969394,2.33887359727459,6.03113302970279,2.57864855831913,0.196252385192235,10,0.663345872304877,NA,0.0149999999999864,0,0
sparse,500,10,none,7,43210007,0.91479151065117,0.695406133004098,1.91065631046882,5.82417181043713,3.04825717661804,0.219385377647072,10,0.315178969460805,NA,0.0159999999999911,0,0
sparse,500,10,none,8,43210008,0.886363582425456,0.747643554563864,2.01087290360165,4.53067696269405,2.2530896679642,0.138720027861593,10,0.448166902844072,NA,0.0130000000000052,0,0
sparse,500,10,none,9,43210009,0.8737794697188,0.714771818947544,2.43613252218262,5.66732129000362,2.3263600146539,0.159007650771257,10,0.663345872304877,NA,0.0120000000000005,0,0
sparse,500,10,none,10,43210010,0.90947368407887,0.705503148549231,1.83838859447091,5.97419050149963,3.24968862375857,0.203970535529639,10,0.315178969460805,NA,0.0120000000000005,0,0
noise,500,10,none,1,53210001,0.00709533607938895,0.00134149835231101,1.04144235305039,1.06093775314711,1.01871961519484,0.00575383772707794,10,293.6043466,NA,0.0130000000000052,0,0
noise,500,10,none,2,53210002,0.0125387882822207,-0.000872378779660288,0.976254493954047,1.07454918963617,1.10068552441076,0.0134111670618809,10,181.4956534,NA,0.0110000000000241,0,0
noise,500,10,none,3,53210003,0.0119634611991172,-0.000158932305365012,0.964066217591232,1.02467913147862,1.0628721479722,0.0121223935044822,10,181.4956534,NA,0.01400000000001,0,0
noise,500,10,none,4,53210004,0.00667036569983648,-0.000973804317440097,0.946911092010433,0.94860165072093,1.00178534048736,0.00764417001727657,10,293.6043466,NA,0.0130000000000052,0,0
noise,500,10,none,5,53210005,0.00788199509410881,-0.00702727388281033,0.903879724147653,0.950648568540121,1.05174233157688,0.0149092689769191,10,293.6043466,NA,0.0149999999999864,0,0
