"dgp","n","rep","model","auc","logloss","acc","t_fit"
"ringnorm",1500,6,"ares",0.993609528331751,0.136454944533968,0.968888888888889,0.0858232975006104
"ringnorm",1500,6,"earth",0.973191674580563,0.204737925333264,0.92,0.0210888385772705
"ringnorm",1500,6,"ranger",0.988999683444128,0.256673653363956,0.928888888888889,0.268038749694824
"waveform",1500,6,"ares",0.952456595668516,0.290988054995248,0.873333333333333,0.0792438983917236
"waveform",1500,6,"earth",0.938383747986397,0.31419792991042,0.86,0.0193777084350586
"waveform",1500,6,"ranger",0.962949704671559,0.280029196103486,0.888888888888889,0.207246780395508
"twonorm",500,7,"ares",0.941422222222222,2.33530459162154,0.906666666666667,0.0282986164093018
"twonorm",500,7,"earth",0.980266666666667,0.187547729158245,0.933333333333333,0.0118756294250488
"twonorm",500,7,"ranger",0.992711111111111,0.290736199105478,0.966666666666667,0.0497682094573975
"threenorm",500,7,"ares",0.881048387096774,0.557165532479183,0.793333333333333,0.02498459815979
"threenorm",500,7,"earth",0.830095307917889,0.600496159602394,0.773333333333333,0.00807332992553711
"threenorm",500,7,"ranger",0.917705278592375,0.478086529123921,0.82,0.0586292743682861
"ringnorm",500,7,"ares",0.95,2.04002169305093,0.906666666666667,0.0326254367828369
"ringnorm",500,7,"earth",0.97125,0.374646747623941,0.86,0.00909781455993652
"ringnorm",500,7,"ranger",0.989821428571429,0.290232878734808,0.953333333333333,0.0579967498779297
"waveform",500,7,"ares",0.9275,0.392442974625727,0.84,0.0299651622772217
"waveform",500,7,"earth",0.932727272727273,0.381977856687357,0.866666666666667,0.00833988189697266
"waveform",500,7,"ranger",0.948636363636364,0.294842358944637,0.893333333333333,0.0483152866363525
"twonorm",1500,7,"ares",0.996444163489461,0.0748000968271362,0.968888888888889,0.070162296295166
"twonorm",1500,7,"earth",0.979751486537208,0.182435531922828,0.924444444444444,0.0197961330413818
"twonorm",1500,7,"ranger",0.994982319590684,0.239385685484123,0.968888888888889,0.212937355041504
"threenorm",1500,7,"ares",0.891709543734609,0.421538817545094,0.808888888888889,0.0672602653503418
"threenorm",1500,7,"earth",0.826462992252097,0.539148881046726,0.768888888888889,0.0267338752746582
"threenorm",1500,7,"ranger",0.924823319786182,0.431031112419762,0.84,0.27081561088562
"ringnorm",1500,7,"ares",0.997846530741268,0.0721228207467486,0.973333333333333,0.0733249187469482
"ringnorm",1500,7,"earth",0.98202149517939,0.165079731688678,0.946666666666667,0.0240395069122314
"ringnorm",1500,7,"ranger",0.991899794531373,0.254549583482388,0.946666666666667,0.270574808120728
"waveform",1500,7,"ares",0.950895848192094,0.279706560241293,0.891111111111111,0.0810298919677734
"waveform",1500,7,"earth",0.933713717607902,0.338582370149934,0.855555555555556,0.0207626819610596
"waveform",1500,7,"ranger",0.958525146426333,0.300582542948234,0.891111111111111,0.209040403366089
"twonorm",500,8,"ares",0.924146075581395,2.17972576338992,0.92,0.0281462669372559
"twonorm",500,8,"earth",0.953851744186046,0.52189094351703,0.88,0.0171833038330078
