"n","degree","dgp","threads","t_ares","t_earth","rss_ares","rss_earth","gcv_ares","gcv_earth","rss_rel_err","speed_ratio"
500,2,"friedman",4,0.00915646553039551,NA,504.609976567476,NA,1.22409220188505,NA,NA,NA
1500,2,"friedman",4,0.0189566612243652,NA,1622.31076519217,NA,1.14710805971326,NA,NA,NA
5000,2,"friedman",4,0.074798583984375,NA,5805.49965170523,NA,1.17918953503302,NA,NA,NA
500,1,"additive",4,0.00660562515258789,NA,117.091272358422,NA,0.253048855162327,NA,NA,NA
1500,1,"additive",4,0.0117030143737793,NA,382.73296093769,NA,0.263163790812102,NA,NA,NA
5000,1,"additive",4,0.0348799228668213,NA,1264.54559593748,NA,0.255662822543056,NA,NA,NA
500,2,"additive",4,0.00898885726928711,NA,118.381139087909,NA,0.280948778218988,NA,NA,NA
1500,2,"additive",4,0.0149352550506592,NA,384.24778782445,NA,0.268918376993507,NA,NA,NA
5000,2,"additive",4,0.0436661243438721,NA,1242.00245068045,NA,0.251509540410445,NA,NA,NA
500,1,"interaction",4,0.00777316093444824,NA,1053.69846235951,NA,2.31552563048999,NA,NA,NA
1500,1,"interaction",4,0.0165600776672363,NA,3572.23304342585,NA,2.46959392861448,NA,NA,NA
5000,1,"interaction",4,0.0504281520843506,NA,12467.7399536491,NA,2.5247579374592,NA,NA,NA
500,2,"interaction",4,0.00814270973205566,NA,563.517711755115,NA,1.25406743878989,NA,NA,NA
1500,2,"interaction",4,0.0185286998748779,NA,1039.77919337255,NA,0.7301880856261,NA,NA,NA
5000,2,"interaction",4,0.057978630065918,NA,2456.70606560384,NA,0.498493680203314,NA,NA,NA
